CUA MS 186,Gratian's Decretum,Friedberg,text ...,CUA MS 186,Gratian's Decretum,Friedberg,... text
,,,,fol. 1r,"D. 16, c. 10",1.45,... [ale]xandrinum presbiterum. qui tres gradus in trinitate
fol. 4v,"D. 21, c. 1",1.67,in ecclesia christi deseruiunt. quorum gradus et nomina ...,fol. 5r,"D. 21, c. 7",1.71,... qui postea insignis martir effectus est. adeo con[pulsus]
fol. 5v,"D. 23, c. 1 ¤1",1.77,procellis intumescentibus cogeretur in naufra[gii] ...,fol. 6r,"D. 25, d.p.c. 3 ¤4",1.92,... peccatum quod deliberatione procedit; Vnde
fol. 10v,"D. 32, c. 6 ¤4",1.119,[bap]tisma. et merito quia alia in baptismo. et alia ...,fol. 11r,"D. 35, d.a.c. 1 ¤1",1.130,... Ministri enim templi prohibentur uinum et siceram bibere.
fol. 11v,"D. 36, c. 3",1.135,deo didiceret. non ex proprio corde. uel ex humano ...,fol. 12r,"D. 42, d.a.c. 1",1.151,... domestica ecclesia sua debet exigere. quod postea
fol. 12v,"D. 43, c. 2 (rubric)",1.155,Porcis et canibus sacra non sunt committenda; ...,fol. 13r,"D. 45, d.a.c. 1",1.160,... perturbati sensus ut percutiat qui debet esse patiens.
fol. 13v,"D. 45, c. 9 ¤1",1.164,uirtutem dicitur; cumque sederem quasi rex circumstante ...,fol. 14r,"D. 50, c. 32 ¤5",1.192,... Placuit ergo. et hos tamquam qui nichil peccauerint. si pre[cendens]
fol. 14v,"D. 50, c. 52 ¤1",1.198,[uomi]tum reuersi fuerint. et uelut sues in uolutabris emersi ...,fol. 15r,"D. 51, d.a.c. 1",1.203,... sacris prohibentur ordinibus; Adiecit quoque sacra mater
fol. 18v,"D. 59, c. 2 (rubric)",1.225,[Ad] sacerdotale offitium nullus nisi per singulos gradus approbatus accedat; ...,fol. 19r,"D. 61, d.a.c. 8 ¤1",1.230,... nicholaus ex laico est electus in episcopum; Beatus
fol. 20v,"D. 63, c. 18",1.240,[elec]tum unanimi et canonica ipsius _cclesi_ elec[tione] ...,fol. 21r,"D. 82, c. 2",1.290,... quod sola continentia oportet impleri; Est enim
fol. 25v,"D. 90, c. 11",1.315,tepidus inuentus fuerit; dampnum proprie dignitatis ...,fol. 26r,"D. 96, c. 16",1.346,... restaurare. nouasque edificare. et dei sacerdotes ho[norare]
fol. 177.2v,"C. 29, q. 2, d.p.c. 6",1.1094,quod si nescierit illum seruum esse. non cogitur cum ...,fol. 178r,"C. 30, q. 1, c. 8",1.1099,... unda sacri baptismatis regenerauit; Siluester
fol. 183v,"C. 32, q. 4, c. 2 ¤2",1.1126,ismahel autem de ancilla natus. expulsus est ab ...,fol. 184r,"C. 32, q. 4, c. 11 ¤1",1.1130,... prohibuit. sed utique a parte totum intelligere uolu[it]
fol. 193v,"de pen. D. 1, c. 60 ¤1",1.1175,merear. vagus et profugus exiit a fatie domini. sig[nificans] ...,fol. 194r,"de pen. D. 1, c. 87",1.1184,... [ue]niam prestari. aliter interpretand_ sunt quam ab eis ex[ponantur]
fol. 195v,"de pen. D. 2, c. 5",1.1191,nullus deo placuit. cum qua nec potuit aliquis ...,fol. 196r,"de pen. D. 2, c. 15",1.1195,... augetur. et sic per incrementa meritorum ad summam
fol. 204v,"de pen. D. 3, c. 44 ¤2",1.1227,peccato quod nondum deseritur; Percipietur autem cum ...,fol. 205r,"de pen. D. 4, c. 8 ¤1",1.1231,... iohannes; Ex nobis exierunt. sed non erant ex nobis;
fol. 215v,"C. 35, q. 5, c. 6 ¤7",1.1277,[po]test amplius progari;,fol. 216r,"C. 35, q. 9, c. 3",1.1284,... excessu diliquerit. aut ipse quidem quod perperam
fol. 217v,"de cons. D. 1, c. 2",1.1293,[mo]ysen conscript_ sunt in lege domini reperitur; Qualiter ergo ...,fol. 218r,"de cons. D. 1, c. 20",1.1299,... nomine patris et filii et spiritus sancti semel baptizatus non
fol. 218v,"de cons. D. 1, c. 44 (rubric)",1.1305,.viiii. In ligneis uasculis. dominici corporis,fol. 219r,"de cons. D. 2, c. 25 (rubric)",1.1322,... indigne sacramentis christi communicat;
fol. 237v,"de cons. D. 5, c. 40",1.1424,consuetudinem nostram qua ad nos sermocinamur ...,,,,
