	"Gratian1_1"	"Gratian1_2"	"Gratian1_3"	"Gratian1_4"	"Gratian1_5"	"Gratian1_6"	"Gratian1_7"	"Gratian1_8"	"Gratian1_9"	"Gratian1_10"	"Gratian1_11"	"Gratian1_12"	"Gratian1_13"	"Gratian1_14"	"Gratian1_15"	"Gratian1_16"	"Gratian1_17"	"Gratian1_18"	"Gratian1_19"	"Gratian1_20"	"Gratian1_21"	"Gratian1_22"	"Gratian1_23"	"Gratian1_24"	"Gratian1_25"	"Gratian1_26"	"Gratian1_27"	"Gratian1_28"	"Gratian1_29"	"Gratian1_30"	"Gratian1_31"	"Gratian1_32"	"Gratian1_33"	"Gratian1_34"	"Gratian1_35"	"Gratian1_36"	"Gratian1_37"	"Gratian1_38"	"Gratian1_39"	"Gratian1_40"	"Gratian1_41"	"Gratian1_42"	"Gratian1_43"	"Gratian1_44"	"Gratian1_45"	"Gratian1_46"	"Gratian1_47"	"Gratian1_48"	"Gratian1_49"	"Gratian1_50"	"Gratian1_51"	"Gratian1_52"	"Gratian1_53"	"Gratian1_54"	"Gratian1_55"	"Gratian1_56"	"Gratian2_1"	"Gratian2_2"	"Gratian2_3"	"Gratian2_4"	"Gratian2_5"	"Gratian2_6"	"Gratian2_7"	"Gratian2_8"	"Gratian2_9"	"Gratian2_10"	"Gratian2_11"	"Gratian2_12"	"Gratian2_13"	"Gratian2_14"
"in"	2.7	3.1	2.7	3.2	3.3	2.2	4	2.9	3.2	2.7	2.3	2.6	2.4	2.6	1.9	2	2.4	2.8	3.1	3	2.6	2.3	2.8	2.3	2.6	3.4	2.4	2.3	3.7	1.3	2.3	2.3	2.1	2.9	3.1	2.8	1.3	2.8	2.9	2.7	2.3	2.8	1.9	2.8	2	2.2	2.1	1.1	1.9	2.3	2.7	2.9	2.8	2.5	3	2.3	2.5	3	2.8	2.6	2.4	2.7	3.1	3.3	4.2	2.6	2.4	2.1	2.5	3.9
"non"	1.5	0.9	1.2	1.8	1.5	1.9	2.2	2.4	2.3	2.7	1.5	2.7	2.9	2.9	2.7	2.4	2.5	2.1	2.2	2.1	2.7	2.5	2.1	2.4	1.9	3.4	2.4	1.7	3.2	2.7	3.9	1.6	2.5	1.8	2.3	3.2	2.9	2	2.5	2	2.7	2.4	2.8	3.1	1.9	1.7	2.7	4.1	3.8	3.7	3.5	2.6	2.2	2.1	1.2	1.6	1.2	1.8	1.8	3.3	1.7	2.5	2.3	3	1.3	2.6	2	2.5	1.8	2.3
"et"	2.9	2.3	2.7	2.2	4.7	2.4	1.7	2.5	2.5	2.1	0.6	2.3	1.6	3.8	2.2	3.3	1.3	2.5	2.1	2.3	3.7	2.8	1.8	1.1	1.7	1.7	1.9	3.1	2.5	1.6	1.6	3.3	2.2	2.5	0.9	2.2	1.3	2.8	3.5	3.2	3	2.7	1.6	1.4	2.5	2.4	1.4	2.8	2.2	3.6	1.8	2	2.3	1.4	1.8	1.2	3.2	1.5	3.2	2.5	2.6	2.2	1.6	2.7	3.2	2.5	2.2	1	3.6	2.1
"quod"	1.3	1.1	1.2	1	1.2	0.4	0.7	0.4	0.6	0.4	1.3	1.8	0.8	1	1.1	1.3	0.9	1.3	1.7	1.9	1.3	2.3	1.5	1.1	1.3	1.6	1.1	0.4	0.9	1.8	1	1.7	1.4	1.3	2.3	2.1	1.9	1.3	0.8	1.7	1.4	1.3	0.8	1.1	1.2	1.4	0.8	1.4	1.6	0.8	1.3	1.4	1.5	1.1	0.5	1	0.9	0.2	0.5	0.6	1.1	0.8	0.6	0.5	0.2	0.6	0.6	1	0.8	0.4
"de"	0.8	0.8	1.2	0.9	0.8	0.7	0.6	0.8	1.3	1.6	1.9	1.8	1.7	0.6	1.1	0.8	1.9	0.7	1.1	0.7	0.9	1.1	1.1	0.8	0.9	0.9	1	1.8	1.4	2.1	0.8	1.2	1.1	0.6	1	1.1	0.7	1.3	0.7	1.1	0.6	0.4	0.7	0.8	0.5	1.1	1.3	1	0.5	0.3	0.8	1.2	1.5	1.3	1.7	1.2	1.8	1.1	0.3	0.9	1.6	1.1	2.2	1.1	1.3	1.8	1.4	0.2	1.3	1.7
"unde"	1	1.4	1.2	1	0.8	1.7	1	1.5	1.3	1.2	2.4	0.5	0.6	0.3	0.4	0.1	0.4	1.1	1.1	0.7	0.7	0.5	0.8	1.3	1.1	0.7	1.3	1.1	0.3	0.6	0.9	0.5	1.3	0.8	1	0.6	0.6	0.3	0.9	0.6	0.5	0.7	1	0.9	0.5	0.9	0.6	0.9	0.3	0	0.5	0.8	0.8	1	0.5	0.6	1.1	2.3	2.7	1.1	0.8	0.8	1.3	1.2	1.5	2	1.5	2.2	1.3	2.5
"ad"	0.5	0.3	1.5	0.9	0.6	1.4	1.4	1.8	0.9	1.1	0.7	1.3	1.3	1.3	0.8	1	1.2	1.3	0.8	0.1	1.7	1.2	1.2	1.4	0.7	0.9	0.6	0.4	0.4	0.9	2.2	1.3	0.4	1.1	1.3	0.3	0.5	1.2	1	1.1	1.4	2.5	0.5	0.9	0.6	0.6	1.1	0.7	1.2	0.3	0.2	0.9	0.3	1.2	1	0.7	1.2	1.8	0.9	1.1	0.6	0.7	0.8	0.8	0	0.7	1.3	1	0.9	1.1
"sed"	0.5	0.7	0.5	0.8	0.5	0.8	0.5	1	1.2	0.7	0.6	1.3	1.9	1.5	1.9	1.1	0.7	0.6	0.5	0.9	1.1	1.3	0.8	0.9	1.2	1.5	0.8	0.5	1.8	1	0.3	0.5	1.2	1	1.9	1.7	1.1	0.7	1	1.2	0.9	1	0.4	1.2	0.3	0.4	0.7	1.2	2	0.9	0.8	1.3	1.2	0.9	0.7	0.7	0.3	0.9	0.6	1	0.8	0.8	0.9	1	0.4	1.2	0.3	1.1	0.6	0.8
"uel"	1.1	1.5	0.6	1.5	0.6	0.5	0.6	0.7	0.5	0.5	1.3	0.6	2	1.7	1	1.1	1.3	0.7	1.3	1.2	0.5	0.7	1.2	0.4	1	0.8	1.4	0.4	0.3	1	0.3	0.5	1	0.6	1	0.1	1.3	1	0.6	0.6	0.3	0.5	1.7	1.6	1	2.2	0.7	0.3	0.7	0.7	1	0.2	1.6	1.4	0.8	1.7	0.3	0.6	0.5	1.3	0.5	1.1	0.8	0.4	0.9	0.6	2.4	1.5	0.9	0.5
"ut"	0.9	0.4	0.7	0.9	1.1	1.6	1	0.7	0.8	0.4	1.1	0.7	1.9	1	0.9	1.4	1	0.7	0.6	1	0.6	0.8	0.3	0.8	0.6	0.5	0.8	0.7	0.6	1.1	0.3	1.2	0.5	0.9	0.2	1.2	0.7	0.6	1.2	1.7	0.5	0.8	0.6	0.6	1.5	0.8	0.4	0.6	0.7	0.2	0.4	1	0.6	0.8	0.9	0.4	0.6	0.5	0.9	0.9	0.3	1	0.8	0.3	0.5	0.1	0.3	0.5	0.6	0.4
