"Gratian0-q_1" "Gratian1_1" "Gratian1_2" "Gratian1_3" "Gratian1_4" "Gratian1_5" "Gratian1_6" "Gratian1_7" "Gratian1_8" "Gratian1_9" "Gratian1_10" "Gratian1_11" "Gratian1_12" "Gratian1_13" "Gratian1_14" "Gratian1_15" "Gratian1_16" "Gratian1_17" "Gratian1_18" "Gratian1_19" "Gratian1_20" "Gratian1_21" "Gratian1_22" "Gratian1_23" "Gratian1_24" "Gratian1_25" "Gratian1_26" "Gratian1_27" "Gratian1_28" "Gratian1_29" "Gratian1_30" "Gratian1_31" "Gratian1_32" "Gratian1_33" "Gratian1_34" "Gratian1_35" "Gratian2_1" "Gratian2_2" "Gratian2_3" "Gratian2_4" "Gratian2_5" "Gratian2_6" "Gratian2_7" "Gratian2_8" "dePen1_1" "dePen1_2" "dePen1_3" "dePen1_4" "dePen1_5"
"in" 2.625 2.6875 3.3125 2.9375 2.875 3.25 3.3125 2.125 2.375 2.3125 2.1875 2.3125 3.3125 2.75 2.4375 2.5 2.8125 2.9375 2.5625 2 2.0625 2.5625 3.125 2.625 2 2.875 2.375 2.3125 2.5 1.9375 1.8125 1.75 2.625 2.875 2.3125 2.9375 2.9375 2.6875 2.625 2.5625 3.5 3.75 2.4375 2.1875 2.0625 1.5 3 2.75 2.4375
"non" 0.5625 1.3125 1.25 1.4375 1.9375 2.4375 2.75 1.625 2.8125 2.9375 2.4375 2.5625 2 2.3125 2.375 2.375 2.3125 2.6875 1.8125 3.1875 3.0625 2.375 1.6875 3 2.5625 2.25 2.5625 2.625 2.75 1.9375 3 3.875 3.6875 2.5 2.1875 1.25 1.375 1.8125 3.125 2 2.8125 1.8125 1.75 2.5625 2.125 2.875 3.625 2.875 2.9375
"et" 2.8125 2.4375 2.8125 3.5 2.4375 2.1875 2.25 1.1875 2 3.0625 3 1.75 2.25 2.8125 3.1875 1 1.6875 1.8125 3.1875 1.75 2.3125 2.625 1.875 1.6875 2 3.375 3.125 2.1875 1.9375 2.1875 1.75 2.5 2.875 2.25 1.4375 1.8125 2.3125 3 2.375 2.3125 2.0625 3.0625 2.125 2.4375 2.4375 2.75 2.0625 3.125 2.3125
"de" 1.125 0.875 1.125 0.6875 0.6875 0.75 1.4375 1.75 1.625 1.125 0.8125 1.5 0.8125 0.9375 0.875 1.0625 1 1.1875 1.3125 1.6875 1.125 1.1875 0.875 1 0.875 0.9375 0.75 0.375 0.9375 0.875 1.0625 0.6875 0.4375 1.0625 1.6875 1.625 1.5 0.5625 1.125 1.5 1.375 1.9375 0.9375 0.8125 0.5625 1.1875 1.3125 1.625 2.0625
"quod" 0.375 1.4375 0.9375 1.0625 0.625 0.5625 0.625 0.875 1.5 1 1.1875 1 1.8125 1.5625 1.9375 1.1875 1.375 1.25 0.6875 1.5625 1.25 1.5 1.5625 2.25 1.6875 0.875 1.5625 1.0625 1.3125 1.0625 1.125 1.5 1.125 1.1875 1.4375 0.5625 0.5625 0.4375 0.6875 0.9375 0.5625 0.25 0.5 0.9375 1 0.75 0.6875 0.875 1.375
"ad" 1.5625 0.5 1.0625 0.6875 1.1875 1.8125 0.8125 1 1.375 1.25 0.8125 0.9375 1.1875 0.9375 1.0625 1.4375 0.875 0.5625 0.6875 0.75 1.875 0.625 1 0.625 0.9375 1.25 1.125 1.8125 0.625 0.625 1.0625 0.875 0.3125 0.4375 0.9375 0.875 1.4375 1.125 0.9375 0.5 1 0.3125 1 1 0.9375 1.1875 0.875 0.5625 1.1875
"sed" 0 0.5625 0.625 0.625 0.8125 0.6875 1.0625 0.75 1.5625 1.625 1.375 0.625 0.6875 1.0625 0.875 1 1.3125 0.9375 0.9375 1.5 0.3125 0.9375 1.25 1.875 0.8125 0.9375 1.125 0.625 0.9375 0.3125 0.75 1.875 0.8125 1.125 1.1875 0.5625 0.625 0.5625 0.875 0.75 1.125 0.75 0.4375 1.0625 0.375 1 0.375 1 0.875
"unde" 0 1.3125 0.9375 1 1.4375 1.3125 1.0625 2.1875 0.5 0.25 0.25 0.8125 0.8125 0.8125 0.625 1.0625 0.9375 1.375 0.5 0.5 0.75 1.0625 0.875 0.6875 0.375 0.8125 0.5 1 0.75 0.5625 0.75 0.5 0.125 0.8125 0.875 0.4375 1.4375 2.75 0.8125 0.625 1.4375 1.875 1.75 1.5625 0.4375 0.25 0.4375 0.375 0.125
"uel" 0.0625 1.375 0.9375 1 0.5 0.625 0.4375 1.0625 1.5625 1.1875 1.1875 0.8125 1.3125 1 0.8125 0.625 1 1 0.4375 0.8125 0.3125 0.875 0.6875 0.4375 1.375 0.5 0.375 1 1.375 1.875 0.5625 0.6875 0.875 0.5 1.625 1.1875 0.5 0.5 0.9375 1.125 0.375 0.8125 1.75 1.0625 0.25 1 0.25 0.375 0.1875
"ut" 0.6875 0.75 0.5625 0.9375 1.5 0.8125 0.5625 0.9375 1.5 0.9375 1.1875 0.8125 0.6875 0.875 0.6875 0.5625 0.625 0.5625 0.9375 0.9375 0.5625 0.6875 0.625 1 0.5625 1.0625 1.125 0.875 0.5 1.3125 0.625 0.4375 0.25 0.625 0.75 0.75 0.5 0.875 0.5 0.9375 0.5625 0.375 0.25 0.5625 1.375 1.0625 1 0.875 0.6875
"si" 0 0.375 0.1875 0.875 0.375 0.375 0.5 0.3125 0.4375 0.375 0.375 0.875 0.5 0.5625 0.6875 0.875 0.5 1 0.8125 0.6875 0.3125 0.9375 0.625 0.75 0.6875 0.375 0.5625 0.625 0.6875 0.75 1.0625 0.625 1 0.5 0.9375 0.6875 0.9375 0.4375 1.25 1.8125 0.625 1.125 1.625 1.25 1.25 0.5 1.1875 1.375 0.875
"cum" 0.4375 1.125 0.375 0.5625 0.625 0.25 0.5625 0.25 1.3125 0.875 0.375 0.8125 0.6875 0.875 1 0.5 0.625 0.6875 0.5625 0.5625 0.625 0.75 0.4375 1.125 1.5 1.1875 0.875 1.25 0.8125 0.875 0.625 1.1875 0.875 0.6875 0.75 0.75 0.3125 0.625 0.625 0.375 0.9375 0.25 0.375 0.8125 0.6875 0.1875 0.8125 0.25 0.5625
"autem" 0.125 1.0625 0.875 0.75 0.5 0.875 0.875 1.4375 0.375 0.375 0.1875 0.6875 0.3125 0.25 0.625 1.375 0.5625 0.5 0.6875 0.9375 0.625 1 0.5625 0.9375 0.8125 0.5625 0.625 0.6875 0.75 0.5 0.8125 0.5 0.625 0.75 0.9375 0.625 0.6875 1.0625 1.1875 0.75 0.5625 0.9375 0.9375 0.6875 0.625 0.0625 0.5 0.625 1.1875
"a" 0.9375 0.5 0.9375 0.625 0.5625 1.125 0.8125 0.75 1.1875 1 0.25 0.8125 1.625 1.4375 1.0625 0.5 0.375 0.1875 0.4375 0.5 0.375 1.125 0.5 0.5625 0.375 1 0.25 0.9375 0.75 0.8125 0.375 0.625 0.5625 0.3125 0.8125 0.9375 0.1875 0.75 0.3125 0.375 0.8125 0.8125 0.625 0.4375 1.5625 0.8125 0.875 0.6875 0.6875
